mes,grupo,codigo_proveedor,pais_origen,categoria,importe_eur,entregas,entregas_a_tiempo,plazo_real_dias
2024-01-01,A,PRV-004,China,moda_belleza,798019.62,1,1,48.9
2024-01-01,A,PRV-006,España,alimentacion_hosteleria,364235.7,4,4,7.0
2024-01-01,A,PRV-009,Portugal,moda_belleza,739836.78,3,3,9.1
2024-01-01,A,PRV-012,China,moda_belleza,893875.18,1,1,43.5
2024-01-01,A,PRV-013,Vietnam,moda_belleza,713022.73,1,1,50.2
2024-01-01,A,PRV-014,Italia,moda_belleza,797200.5,5,5,8.4
2024-01-01,A,PRV-015,España,hogar_electronica,818234.52,6,3,4.3
2024-01-01,A,PRV-019,Bangladés,alimentacion_hosteleria,403131.27,1,0,38.3
2024-01-01,A,PRV-023,Portugal,moda_belleza,1352457.44,4,4,6.6
2024-01-01,A,PRV-033,España,alimentacion_hosteleria,402750.28,8,8,3.5
2024-01-01,A,PRV-036,Italia,moda_belleza,500167.25,3,3,19.8
2024-01-01,A,PRV-052,Turquía,moda_belleza,1382264.74,1,1,27.1
2024-01-01,A,PRV-057,Turquía,hogar_electronica,961976.59,2,2,12.6
2024-01-01,A,PRV-059,China,hogar_electronica,833483.31,1,1,24.9
2024-01-01,A,PRV-061,España,hogar_electronica,485002.57,5,5,8.8
2024-01-01,A,PRV-065,España,alimentacion_hosteleria,359061.67,4,4,4.6
2024-01-01,A,PRV-086,Vietnam,hogar_electronica,294888.71,1,0,34.7
2024-01-01,A,PRV-092,España,moda_belleza,699030.69,7,7,3.6
2024-01-01,A,PRV-100,China,hogar_electronica,1147225.47,1,1,53.1
2024-01-01,A,PRV-106,España,alimentacion_hosteleria,331746.3,7,6,2.5
2024-01-01,A,PRV-107,Bangladés,moda_belleza,1063255.44,1,1,23.5
2024-01-01,A,PRV-108,China,moda_belleza,956592.36,1,1,35.2
2024-01-01,A,PRV-110,España,moda_belleza,478013.65,5,4,7.7
2024-01-01,A,PRV-112,España,hogar_electronica,286464.29,4,4,4.3
2024-01-01,A,PRV-115,Portugal,hogar_electronica,903859.44,6,6,5.3
2024-01-01,A,PRV-117,España,moda_belleza,1330505.44,6,6,8.2
2024-01-01,A,PRV-118,España,alimentacion_hosteleria,410938.41,5,5,4.0
2024-01-01,B,PRV-001,Turquía,hogar_electronica,295269.94,2,1,11.9
2024-01-01,B,PRV-004,China,moda_belleza,663228.35,1,0,49.3
2024-01-01,B,PRV-014,Italia,moda_belleza,463580.27,2,2,9.3
2024-01-01,B,PRV-021,España,hogar_electronica,511929.49,5,5,8.0
2024-01-01,B,PRV-026,Italia,moda_belleza,402189.37,3,2,9.9
2024-01-01,B,PRV-030,China,moda_belleza,657604.32,1,1,50.5
2024-01-01,B,PRV-042,Italia,moda_belleza,333869.4,3,3,6.4
2024-01-01,B,PRV-048,Portugal,moda_belleza,450260.99,2,2,9.0
2024-01-01,B,PRV-050,Bangladés,hogar_electronica,660934.63,1,1,61.9
2024-01-01,B,PRV-051,China,hogar_electronica,242650.43,1,1,59.5
2024-01-01,B,PRV-053,España,alimentacion_hosteleria,712482.64,5,5,6.8
2024-01-01,B,PRV-055,Vietnam,alimentacion_hosteleria,516502.68,1,1,61.4
2024-01-01,B,PRV-059,China,hogar_electronica,480598.39,1,1,66.0
