mes,matricula,grupo,tipo,km,km_en_vacio,litros,coste_eur,co2e_kg
2024-01-01,RN-MAD-F001,A,furgoneta,1835.7,330.4,176.3,250.35,472.5
2024-02-01,RN-MAD-F001,A,furgoneta,2075.5,373.6,199.3,283.06,534.2
2024-03-01,RN-MAD-F001,A,furgoneta,2298.1,413.7,220.7,313.43,591.5
2024-04-01,RN-MAD-F001,A,furgoneta,2199.3,395.9,211.2,299.95,566.1
2024-05-01,RN-MAD-F001,A,furgoneta,1989.0,358.0,191.0,271.27,512.0
2024-06-01,RN-MAD-F001,A,furgoneta,2309.8,415.8,221.8,315.01,594.5
2024-07-01,RN-MAD-F001,A,furgoneta,2154.6,387.8,206.9,293.86,554.6
2024-08-01,RN-MAD-F001,A,furgoneta,1838.2,330.9,176.5,250.7,473.1
2024-09-01,RN-MAD-F001,A,furgoneta,2321.4,417.9,223.0,316.61,597.5
2024-10-01,RN-MAD-F001,A,furgoneta,2068.6,372.4,198.7,282.13,532.5
2024-11-01,RN-MAD-F001,A,furgoneta,2265.1,407.7,217.6,308.92,583.0
2024-12-01,RN-MAD-F001,A,furgoneta,2559.0,460.6,245.8,349.01,658.7
2025-01-01,RN-MAD-F001,A,furgoneta,2072.4,373.0,199.0,282.64,533.4
2025-02-01,RN-MAD-F001,A,furgoneta,2005.5,361.0,192.6,273.51,516.2
2025-03-01,RN-MAD-F001,A,furgoneta,2153.7,387.7,206.9,293.73,554.4
2025-04-01,RN-MAD-F001,A,furgoneta,2176.1,391.7,209.0,296.79,560.1
2025-05-01,RN-MAD-F001,A,furgoneta,2036.8,366.6,195.6,277.79,524.3
2025-06-01,RN-MAD-F001,A,furgoneta,2364.8,425.7,227.1,322.52,608.7
2025-07-01,RN-MAD-F001,A,furgoneta,2539.4,457.1,243.9,346.33,653.6
2025-08-01,RN-MAD-F001,A,furgoneta,2024.6,364.4,194.5,276.13,521.1
2025-09-01,RN-MAD-F001,A,furgoneta,2196.9,395.4,211.0,299.62,565.5
2025-10-01,RN-MAD-F001,A,furgoneta,2161.4,389.1,207.6,294.78,556.3
2025-11-01,RN-MAD-F001,A,furgoneta,2237.4,402.7,214.9,305.15,575.9
2025-12-01,RN-MAD-F001,A,furgoneta,2383.9,429.1,229.0,325.13,613.6
2024-01-01,RN-MAD-F002,A,furgoneta,2078.3,374.1,197.4,280.36,529.1
2024-02-01,RN-MAD-F002,A,furgoneta,1931.5,347.7,183.5,260.56,491.8
2024-03-01,RN-MAD-F002,A,furgoneta,2397.4,431.5,227.8,323.41,610.4
2024-04-01,RN-MAD-F002,A,furgoneta,2439.1,439.0,231.7,329.03,621.0
2024-05-01,RN-MAD-F002,A,furgoneta,2105.4,379.0,200.0,284.02,536.0
2024-06-01,RN-MAD-F002,A,furgoneta,2177.0,391.9,206.8,293.68,554.3
2024-07-01,RN-MAD-F002,A,furgoneta,2436.5,438.6,231.5,328.68,620.3
2024-08-01,RN-MAD-F002,A,furgoneta,2079.8,374.4,197.6,280.56,529.5
2024-09-01,RN-MAD-F002,A,furgoneta,2327.3,418.9,221.1,313.95,592.5
2024-10-01,RN-MAD-F002,A,furgoneta,2027.7,365.0,192.6,273.53,516.2
2024-11-01,RN-MAD-F002,A,furgoneta,2270.8,408.7,215.7,306.33,578.1
2024-12-01,RN-MAD-F002,A,furgoneta,2743.4,493.8,260.6,370.09,698.5
2025-01-01,RN-MAD-F002,A,furgoneta,1988.5,357.9,188.9,268.25,506.3
2025-02-01,RN-MAD-F002,A,furgoneta,1976.4,355.8,187.8,266.62,503.2
2025-03-01,RN-MAD-F002,A,furgoneta,2227.9,401.0,211.7,300.55,567.2
2025-04-01,RN-MAD-F002,A,furgoneta,2331.8,419.7,221.5,314.56,593.7
2025-05-01,RN-MAD-F002,A,furgoneta,2234.2,402.2,212.2,301.39,568.8
2025-06-01,RN-MAD-F002,A,furgoneta,2149.8,387.0,204.2,290.01,547.3
2025-07-01,RN-MAD-F002,A,furgoneta,2297.5,413.6,218.3,309.94,585.0
2025-08-01,RN-MAD-F002,A,furgoneta,2026.5,364.8,192.5,273.37,515.9
2025-09-01,RN-MAD-F002,A,furgoneta,2198.2,395.7,208.8,296.53,559.7
2025-10-01,RN-MAD-F002,A,furgoneta,2179.5,392.3,207.1,294.02,554.9
2025-11-01,RN-MAD-F002,A,furgoneta,1808.5,325.5,171.8,243.97,460.4
2025-12-01,RN-MAD-F002,A,furgoneta,2822.4,508.0,268.1,380.74,718.6
2024-01-01,RN-MAD-F003,A,furgoneta,1900.4,342.1,190.5,270.47,510.5
2024-02-01,RN-MAD-F003,A,furgoneta,1801.1,324.2,180.5,256.33,483.8
2024-03-01,RN-MAD-F003,A,furgoneta,2103.9,378.7,210.9,299.43,565.1
2024-04-01,RN-MAD-F003,A,furgoneta,2071.3,372.8,207.6,294.79,556.4
2024-05-01,RN-MAD-F003,A,furgoneta,2128.9,383.2,213.4,302.99,571.8
2024-06-01,RN-MAD-F003,A,furgoneta,2109.0,379.6,211.4,300.16,566.5
2024-07-01,RN-MAD-F003,A,furgoneta,2368.0,426.2,237.3,337.02,636.1
2024-08-01,RN-MAD-F003,A,furgoneta,2224.3,400.4,222.9,316.56,597.5
2024-09-01,RN-MAD-F003,A,furgoneta,1680.4,302.5,168.4,239.16,451.4
2024-10-01,RN-MAD-F003,A,furgoneta,2135.9,384.5,214.1,303.98,573.7
2024-11-01,RN-MAD-F003,A,furgoneta,2165.7,389.8,217.1,308.22,581.7
2024-12-01,RN-MAD-F003,A,furgoneta,2424.3,436.4,243.0,345.02,651.2
2025-01-01,RN-MAD-F003,A,furgoneta,1946.6,350.4,195.1,277.04,522.9
2025-02-01,RN-MAD-F003,A,furgoneta,1920.4,345.7,192.5,273.31,515.8
2025-03-01,RN-MAD-F003,A,furgoneta,2320.1,417.6,232.5,330.2,623.2
2025-04-01,RN-MAD-F003,A,furgoneta,2013.3,362.4,201.8,286.53,540.8
2025-05-01,RN-MAD-F003,A,furgoneta,2082.5,374.9,208.7,296.38,559.4
2025-06-01,RN-MAD-F003,A,furgoneta,2250.2,405.0,225.5,320.24,604.4
2025-07-01,RN-MAD-F003,A,furgoneta,2308.4,415.5,231.4,328.53,620.0
2025-08-01,RN-MAD-F003,A,furgoneta,1896.2,341.3,190.0,269.86,509.3
2025-09-01,RN-MAD-F003,A,furgoneta,2525.8,454.6,253.1,359.47,678.4
2025-10-01,RN-MAD-F003,A,furgoneta,2020.1,363.6,202.5,287.49,542.6
2025-11-01,RN-MAD-F003,A,furgoneta,1947.0,350.5,195.1,277.09,523.0
2025-12-01,RN-MAD-F003,A,furgoneta,2274.4,409.4,228.0,323.69,610.9
2024-01-01,RN-MAD-F004,A,furgoneta,2138.4,384.9,203.2,288.48,544.4
2024-02-01,RN-MAD-F004,A,furgoneta,1759.0,316.6,167.1,237.29,447.8
2024-03-01,RN-MAD-F004,A,furgoneta,2283.2,411.0,216.9,308.0,581.3
2024-04-01,RN-MAD-F004,A,furgoneta,2118.6,381.3,201.3,285.79,539.4
