mes,codigo_instalacion,grupo,tipo_instalacion,superficie_m2,electricidad_kwh,gas_kwh,coste_eur,co2e_kg
2024-01-01,RN-MAD-GA01,A,gran_almacen,23133,528156.9,171779.8,92514.68,121050.6
2024-02-01,RN-MAD-GA01,A,gran_almacen,23133,462864.7,148270.5,80936.81,105672.2
2024-03-01,RN-MAD-GA01,A,gran_almacen,23133,471921.6,121623.8,80688.52,102362.2
2024-04-01,RN-MAD-GA01,A,gran_almacen,23133,439873.4,68939.7,72454.64,87325.5
2024-05-01,RN-MAD-GA01,A,gran_almacen,23133,473264.4,52907.3,76636.23,90084.1
2024-06-01,RN-MAD-GA01,A,gran_almacen,23133,549202.3,24540.2,86647.85,97830.7
2024-07-01,RN-MAD-GA01,A,gran_almacen,23133,575484.3,18602.7,90353.43,101218.0
2024-08-01,RN-MAD-GA01,A,gran_almacen,23133,645320.4,18685.6,101183.16,113105.2
2024-09-01,RN-MAD-GA01,A,gran_almacen,23133,516686.0,30497.8,81977.19,93387.2
2024-10-01,RN-MAD-GA01,A,gran_almacen,23133,486517.3,68767.4,79673.76,95223.6
2024-11-01,RN-MAD-GA01,A,gran_almacen,23133,488738.2,110161.2,82584.42,103134.8
2024-12-01,RN-MAD-GA01,A,gran_almacen,23133,454552.1,115257.8,77601.56,98250.8
2025-01-01,RN-MAD-GA01,A,gran_almacen,23133,537121.3,162483.9,93327.81,120882.7
2025-02-01,RN-MAD-GA01,A,gran_almacen,23133,478976.6,142611.3,83083.27,107381.3
2025-03-01,RN-MAD-GA01,A,gran_almacen,23133,455289.2,122917.2,78190.69,99770.1
2025-04-01,RN-MAD-GA01,A,gran_almacen,23133,458295.4,78939.9,75930.06,92277.3
2025-05-01,RN-MAD-GA01,A,gran_almacen,23133,447717.4,42107.3,72006.85,83775.5
2025-06-01,RN-MAD-GA01,A,gran_almacen,23133,541636.8,23276.6,85396.85,96314.6
2025-07-01,RN-MAD-GA01,A,gran_almacen,23133,642600.9,18880.7,100773.74,112678.4
2025-08-01,RN-MAD-GA01,A,gran_almacen,23133,619176.0,18771.4,97136.11,108676.3
2025-09-01,RN-MAD-GA01,A,gran_almacen,23133,504111.7,32732.7,80166.73,91656.3
2025-10-01,RN-MAD-GA01,A,gran_almacen,23133,498684.8,74891.5,81939.42,98406.7
2025-11-01,RN-MAD-GA01,A,gran_almacen,23133,495935.2,112396.4,83838.54,104765.1
2025-12-01,RN-MAD-GA01,A,gran_almacen,23133,428542.4,118249.5,73755.55,94373.6
2024-01-01,RN-MAD-GA02,A,gran_almacen,15731,346356.2,109912.9,60499.81,78884.7
2024-02-01,RN-MAD-GA02,A,gran_almacen,15731,313382.4,106776.2,55194.39,72708.3
2024-03-01,RN-MAD-GA02,A,gran_almacen,15731,324905.9,76495.0,55103.1,69156.1
2024-04-01,RN-MAD-GA02,A,gran_almacen,15731,305016.0,57785.6,50860.19,62369.7
2024-05-01,RN-MAD-GA02,A,gran_almacen,15731,312160.1,31240.9,50321.76,58753.1
2024-06-01,RN-MAD-GA02,A,gran_almacen,15731,354874.4,19120.1,56190.97,63808.5
2024-07-01,RN-MAD-GA02,A,gran_almacen,15731,414248.5,13585.3,65050.81,72894.8
2024-08-01,RN-MAD-GA02,A,gran_almacen,15731,439116.4,12614.5,68845.13,76945.6
2024-09-01,RN-MAD-GA02,A,gran_almacen,15731,359280.5,22622.9,57091.1,65195.1
2024-10-01,RN-MAD-GA02,A,gran_almacen,15731,309570.5,50919.6,51140.44,61894.4
2024-11-01,RN-MAD-GA02,A,gran_almacen,15731,317215.7,62689.1,53055.16,65336.1
2024-12-01,RN-MAD-GA02,A,gran_almacen,15731,290992.8,69246.3,49397.16,62071.6
2025-01-01,RN-MAD-GA02,A,gran_almacen,15731,370770.9,109787.4,64276.3,83012.4
2025-02-01,RN-MAD-GA02,A,gran_almacen,15731,299087.4,97788.8,52421.45,68642.4
2025-03-01,RN-MAD-GA02,A,gran_almacen,15731,309204.9,76869.9,52692.7,66555.2
2025-04-01,RN-MAD-GA02,A,gran_almacen,15731,316648.3,50748.5,52226.9,63066.4
2025-05-01,RN-MAD-GA02,A,gran_almacen,15731,325885.1,32811.3,52546.5,61372.1
