mes,grupo,tipo,kg,retornable,coste_eur
2024-01-01,A,carton_entrada,118357.8,False,73381.84
2024-01-01,A,carton_salida,63302.2,False,49375.75
2024-01-01,A,film_plastico,41313.3,False,59904.3
2024-01-01,A,palet_madera,45265.0,False,15390.09
2024-01-01,A,relleno_plastico,24773.3,False,47069.21
2024-01-01,B,carton_entrada,72740.4,False,45099.07
2024-01-01,B,carton_salida,39614.3,False,30899.13
2024-01-01,B,film_plastico,28184.7,False,40867.78
2024-01-01,B,palet_madera,34541.6,False,11744.13
2024-01-01,B,relleno_plastico,16533.7,False,31414.1
2024-01-01,C,carton_entrada,59869.6,False,37119.13
2024-01-01,C,carton_salida,29758.9,False,23211.97
2024-01-01,C,film_plastico,19808.3,False,28722.0
2024-01-01,C,palet_madera,23532.7,False,8001.13
2024-01-01,C,relleno_plastico,12064.0,False,22921.65
2024-01-01,D,carton_entrada,35693.7,False,22130.06
2024-01-01,D,carton_salida,21307.6,False,16619.95
2024-01-01,D,film_plastico,12509.5,False,18138.77
2024-01-01,D,palet_madera,13962.0,False,4747.07
2024-01-01,D,relleno_plastico,8090.3,False,15371.56
2024-01-01,E,carton_entrada,28493.9,False,17666.2
2024-01-01,E,carton_salida,18217.4,False,14209.55
2024-01-01,E,film_plastico,11053.4,False,16027.37
2024-01-01,E,palet_madera,11759.8,False,3998.33
2024-01-01,E,relleno_plastico,6356.9,False,12078.06
2024-02-01,A,carton_entrada,105056.2,False,65134.82
2024-02-01,A,carton_salida,51797.7,False,40402.21
2024-02-01,A,film_plastico,40616.7,False,58894.15
2024-02-01,A,palet_madera,41159.2,False,13994.13
2024-02-01,A,relleno_plastico,20961.6,False,39827.05
2024-02-01,B,carton_entrada,70472.8,False,43693.11
2024-02-01,B,carton_salida,38762.6,False,30234.82
2024-02-01,B,film_plastico,25745.5,False,37330.93
2024-02-01,B,palet_madera,25474.4,False,8661.31
2024-02-01,B,relleno_plastico,13934.0,False,26474.68
2024-02-01,C,carton_entrada,43003.7,False,26662.3
2024-02-01,C,carton_salida,28651.9,False,22348.52
2024-02-01,C,film_plastico,16347.1,False,23703.36
2024-02-01,C,palet_madera,20758.0,False,7057.72
2024-02-01,C,relleno_plastico,10774.9,False,20472.38
2024-02-01,D,carton_entrada,32772.9,False,20319.19
2024-02-01,D,carton_salida,20843.2,False,16257.68
2024-02-01,D,film_plastico,11978.9,False,17369.36
2024-02-01,D,palet_madera,13307.3,False,4524.48
2024-02-01,D,relleno_plastico,7232.7,False,13742.22
2024-02-01,E,carton_entrada,28264.1,False,17523.75
2024-02-01,E,carton_salida,17502.8,False,13652.18
2024-02-01,E,film_plastico,10272.0,False,14894.43
2024-02-01,E,palet_madera,11142.6,False,3788.5
2024-02-01,E,relleno_plastico,6022.5,False,11442.71
2024-03-01,A,carton_entrada,130457.6,False,80883.74
2024-03-01,A,carton_salida,66909.1,False,52189.09
2024-03-01,A,film_plastico,47519.7,False,68903.6
2024-03-01,A,palet_madera,49548.8,False,16846.61
2024-03-01,A,relleno_plastico,26588.3,False,50517.7
2024-03-01,B,carton_entrada,81151.8,False,50314.12
2024-03-01,B,carton_salida,42816.1,False,33396.59
2024-03-01,B,film_plastico,31114.2,False,45115.62
2024-03-01,B,palet_madera,33734.9,False,11469.86
2024-03-01,B,relleno_plastico,17106.6,False,32502.52
2024-03-01,C,carton_entrada,63822.8,False,39570.14
