matricula,grupo,tipo,anio_matriculacion,antiguedad_anios,norma_emisiones,km_anuales_previstos,consumo_l_100km,frigorifico
RN-MAD-F001,A,furgoneta,2020,5,Euro 6,26000,9.5,False
RN-MAD-F002,A,furgoneta,2021,4,Euro 6d,26000,9.5,False
RN-MAD-F003,A,furgoneta,2016,9,Euro 6,26000,9.5,False
RN-MAD-F004,A,furgoneta,2021,4,Euro 6d,26000,9.5,False
RN-MAD-F005,A,furgoneta,2019,6,Euro 6,26000,9.5,False
RN-MAD-F006,A,furgoneta,2021,4,Euro 6d,26000,9.5,False
RN-MAD-F007,A,furgoneta,2023,2,Euro 6d,26000,9.5,False
RN-MAD-F008,A,furgoneta,2019,6,Euro 6,26000,9.5,False
RN-MAD-F009,A,furgoneta,2020,5,Euro 6,26000,9.5,False
RN-MAD-F010,A,furgoneta,2019,6,Euro 6,26000,9.5,False
RN-MAD-F011,A,furgoneta,2021,4,Euro 6d,26000,9.5,False
RN-MAD-F012,A,furgoneta,2019,6,Euro 6,26000,9.5,False
RN-MAD-F013,A,furgoneta,2019,6,Euro 6,26000,9.5,False
RN-MAD-F014,A,furgoneta,2018,7,Euro 6,26000,9.5,False
RN-MAD-F015,A,furgoneta,2021,4,Euro 6d,26000,9.5,False
RN-MAD-F016,A,furgoneta,2019,6,Euro 6,26000,9.5,False
RN-MAD-F017,A,furgoneta,2019,6,Euro 6,26000,9.5,False
RN-MAD-F018,A,furgoneta,2016,9,Euro 6,26000,9.5,False
RN-MAD-F019,A,furgoneta,2022,3,Euro 6d,26000,9.5,False
RN-MAD-F020,A,furgoneta,2020,5,Euro 6,26000,9.5,False
RN-MAD-F021,A,furgoneta,2022,3,Euro 6d,26000,9.5,False
RN-MAD-F022,A,furgoneta,2023,2,Euro 6d,26000,9.5,False
RN-MAD-F023,A,furgoneta,2018,7,Euro 6,26000,9.5,False
RN-MAD-F024,A,furgoneta,2021,4,Euro 6d,26000,9.5,False
RN-MAD-F025,A,furgoneta,2022,3,Euro 6d,26000,9.5,False
