mes,codigo_tienda,grupo,categoria,nombre_categoria,stock_medio_eur,rotacion_anualizada,dias_cobertura,merma_pct,merma_eur
2024-01-01,RN-BCN-CV01,B,moda_belleza,Moda y Belleza,22446.81,3.27,111.8,0.0148,145.82
2024-01-01,RN-BCN-CV01,B,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",43278.24,3.74,97.5,0.0077,167.66
2024-01-01,RN-BCN-CV01,B,alimentacion_hosteleria,Alimentación y Hostelería,49592.63,18.37,19.9,0.0278,3403.84
2024-01-01,RN-BCN-CV02,B,moda_belleza,Moda y Belleza,24202.86,3.2,114.1,0.0118,122.76
2024-01-01,RN-BCN-CV02,B,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",58532.51,2.92,124.9,0.004,91.96
2024-01-01,RN-BCN-CV02,B,alimentacion_hosteleria,Alimentación y Hostelería,58414.75,16.47,22.2,0.0264,3413.11
2024-01-01,RN-BCN-CV03,B,moda_belleza,Moda y Belleza,26523.29,3.06,119.1,0.0082,89.6
2024-01-01,RN-BCN-CV03,B,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",43899.85,4.09,89.2,0.0048,115.9
2024-01-01,RN-BCN-CV03,B,alimentacion_hosteleria,Alimentación y Hostelería,57986.55,17.42,21.0,0.0345,4684.52
2024-01-01,RN-BCN-CV04,B,moda_belleza,Moda y Belleza,18945.48,3.32,109.9,0.0086,72.73
2024-01-01,RN-BCN-CV04,B,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",29813.13,4.66,78.3,0.005,93.44
2024-01-01,RN-BCN-CV04,B,alimentacion_hosteleria,Alimentación y Hostelería,40750.65,19.19,19.0,0.0249,2616.75
2024-01-01,RN-BCN-CV05,B,moda_belleza,Moda y Belleza,21692.74,3.06,119.1,0.011,98.3
2024-01-01,RN-BCN-CV05,B,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",34582.18,4.25,85.9,0.0072,142.19
2024-01-01,RN-BCN-CV05,B,alimentacion_hosteleria,Alimentación y Hostelería,47508.57,17.39,21.0,0.0239,2654.14
2024-01-01,RN-BCN-CV06,B,moda_belleza,Moda y Belleza,22850.62,3.06,119.1,0.0096,90.34
2024-01-01,RN-BCN-CV06,B,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",39855.87,3.88,94.0,0.0064,133.09
2024-01-01,RN-BCN-CV06,B,alimentacion_hosteleria,Alimentación y Hostelería,50964.05,17.07,21.4,0.0199,2327.11
2024-01-01,RN-BCN-CV07,B,moda_belleza,Moda y Belleza,22311.6,3.14,116.3,0.0098,92.24
2024-01-01,RN-BCN-CV07,B,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",40206.65,3.85,94.8,0.0039,81.12
2024-01-01,RN-BCN-CV07,B,alimentacion_hosteleria,Alimentación y Hostelería,45944.31,18.94,19.3,0.0364,4257.38
2024-01-01,RN-BCN-CV08,B,moda_belleza,Moda y Belleza,20269.19,3.43,106.4,0.0106,99.03
2024-01-01,RN-BCN-CV08,B,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",32100.75,4.79,76.3,0.0064,132.14
2024-01-01,RN-BCN-CV08,B,alimentacion_hosteleria,Alimentación y Hostelería,64221.47,13.45,27.1,0.0197,2287.19
2024-01-01,RN-BCN-ES01,B,moda_belleza,Moda y Belleza,329947.78,4.06,89.8,0.0114,2054.01
2024-01-01,RN-BCN-ES01,B,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",62978.75,3.56,102.4,0.0048,144.79
2024-01-01,RN-BCN-ES01,B,alimentacion_hosteleria,Alimentación y Hostelería,1871.86,14.28,25.6,0.0278,99.86
2024-01-01,RN-BCN-ES02,B,moda_belleza,Moda y Belleza,505802.05,3.1,117.6,0.0133,2806.9
2024-01-01,RN-BCN-ES02,B,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",70307.83,3.74,97.6,0.0067,236.73
2024-01-01,RN-BCN-ES02,B,alimentacion_hosteleria,Alimentación y Hostelería,1541.78,20.3,18.0,0.0302,127.06
2024-01-01,RN-BCN-ES03,B,moda_belleza,Moda y Belleza,520274.62,3.11,117.5,0.0101,2194.69
2024-01-01,RN-BCN-ES03,B,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",83081.03,3.26,112.0,0.004,145.51
2024-01-01,RN-BCN-ES03,B,alimentacion_hosteleria,Alimentación y Hostelería,1712.56,18.82,19.4,0.0297,128.66
2024-01-01,RN-BCN-ES04,B,moda_belleza,Moda y Belleza,449143.33,3.39,107.8,0.0116,2370.65
2024-01-01,RN-BCN-ES04,B,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",66751.27,3.81,95.7,0.0051,174.49
2024-01-01,RN-BCN-ES04,B,alimentacion_hosteleria,Alimentación y Hostelería,1596.38,18.99,19.2,0.02,81.49
2024-01-01,RN-BCN-ES05,B,moda_belleza,Moda y Belleza,567739.71,2.91,125.6,0.0103,2283.64
2024-01-01,RN-BCN-ES05,B,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",67214.25,4.11,88.8,0.0031,115.07
2024-01-01,RN-BCN-ES05,B,alimentacion_hosteleria,Alimentación y Hostelería,1739.64,18.9,19.3,0.028,123.76
