fecha,grupo,pedidos,ventas_eur,ventas_moda_belleza_eur,ventas_hogar_electronica_eur,ventas_alimentacion_hosteleria_eur,ticket_medio_eur,pct_recogida_en_tienda
2024-01-01,A,2591,172996.77,86670.35,79447.82,6878.6,66.77,0.26
2024-01-01,B,2139,125521.71,60356.54,59693.29,5471.88,58.68,0.255
2024-01-01,C,979,57349.31,25403.05,25018.16,6928.1,58.58,0.291
2024-01-01,D,607,39293.9,17855.52,18971.49,2466.88,64.73,0.298
2024-01-01,E,679,42686.75,19513.94,21221.41,1951.39,62.87,0.416
2024-01-02,A,3301,203272.23,101838.18,93351.66,8082.39,61.58,0.313
2024-01-02,B,2621,159159.43,76531.09,75690.09,6938.26,60.72,0.29
2024-01-02,C,975,62758.9,27799.25,27378.04,7581.61,64.37,0.303
2024-01-02,D,581,36628.84,16644.5,17684.78,2299.57,63.04,0.251
2024-01-02,E,652,42648.66,19496.53,21202.47,1949.65,65.41,0.414
2024-01-03,A,3720,209756.55,105086.78,96329.55,8340.22,56.39,0.293
2024-01-03,B,2376,136514.48,65642.37,64921.02,5951.09,57.46,0.264
2024-01-03,C,1113,66935.87,29649.45,29200.21,8086.21,60.14,0.331
2024-01-03,D,605,36427.12,16552.83,17587.38,2286.9,60.21,0.26
2024-01-03,E,1013,63012.61,28805.77,31326.27,2880.58,62.2,0.379
2024-01-04,A,4007,248430.06,124461.98,114090.15,9877.93,62.0,0.311
2024-01-04,B,2165,116881.69,56202.03,55584.42,5095.24,53.99,0.231
2024-01-04,C,907,52477.21,23244.94,22892.74,6339.53,57.86,0.27
2024-01-04,D,604,33498.96,15222.25,16173.64,2103.07,55.46,0.257
2024-01-04,E,763,49635.15,22690.35,24675.76,2269.04,65.05,0.471
2024-01-05,A,3230,180895.49,90627.56,83075.26,7192.66,56.0,0.27
2024-01-05,B,1891,107690.48,51782.48,51213.44,4694.57,56.95,0.305
2024-01-05,C,868,53050.09,23498.7,23142.66,6408.74,61.12,0.284
2024-01-05,D,562,35312.84,16046.49,17049.4,2216.95,62.83,0.301
2024-01-05,E,610,40441.52,18487.55,20105.21,1848.76,66.3,0.433
2024-01-06,A,3381,180042.88,90200.41,82683.71,7158.76,53.25,0.276
2024-01-06,B,1765,104168.23,50088.82,49538.39,4541.02,59.02,0.232
2024-01-06,C,861,49687.58,22009.27,21675.79,6002.53,57.71,0.27
2024-01-06,D,616,40588.14,18443.64,19596.36,2548.13,65.89,0.257
2024-01-06,E,671,44411.04,20302.19,22078.63,2030.22,66.19,0.414
2024-01-07,A,3355,212043.56,106232.56,97379.84,8431.16,63.2,0.297
2024-01-07,B,2344,146176.7,70288.4,69516.0,6372.3,62.36,0.247
2024-01-07,C,879,56023.56,24815.8,24439.81,6767.95,63.74,0.308
2024-01-07,D,653,33886.93,15398.55,16360.96,2127.43,51.89,0.248
2024-01-07,E,760,43963.83,20097.75,21856.3,2009.78,57.85,0.391
2024-01-08,A,4406,259034.34,129774.66,118960.1,10299.58,58.79,0.265
2024-01-08,B,2711,168403.26,80975.94,80086.09,7341.23,62.12,0.283
2024-01-08,C,1081,65372.41,28956.91,28518.17,7897.34,60.47,0.28
2024-01-08,D,681,41984.63,19078.22,20270.61,2635.81,61.65,0.203
2024-01-08,E,1005,58670.12,26820.63,29167.43,2682.06,58.38,0.4
2024-01-09,A,3595,226667.92,113559.27,104096.0,9012.64,63.05,0.298
2024-01-09,B,2576,153383.69,73753.85,72943.36,6686.48,59.54,0.243
2024-01-09,C,1116,68102.73,30166.31,29709.24,8227.17,61.02,0.314
2024-01-09,D,713,47470.39,21571.0,22919.19,2980.2,66.58,0.319
2024-01-09,E,1130,65277.71,29841.24,32452.35,2984.12,57.77,0.433
2024-01-10,A,4536,240589.91,120534.11,110489.6,9566.2,53.04,0.241
2024-01-10,B,2450,135093.64,64959.16,64245.32,5889.15,55.14,0.232
2024-01-10,C,1214,71796.92,31802.66,31320.8,8673.45,59.14,0.262
2024-01-10,D,686,43327.33,19688.35,20918.87,2720.1,63.16,0.306
2024-01-10,E,617,44062.56,20142.88,21905.39,2014.29,71.41,0.408
2024-01-11,A,3469,223369.13,111906.6,102581.05,8881.48,64.39,0.271
2024-01-11,B,2447,166647.0,80131.45,79250.88,7264.66,68.1,0.326
2024-01-11,C,1175,68282.96,30246.14,29787.87,8248.95,58.11,0.247
2024-01-11,D,749,41595.63,18901.45,20082.79,2611.38,55.53,0.251
2024-01-11,E,829,56693.71,25917.12,28184.87,2591.71,68.39,0.452
2024-01-12,A,3787,227605.1,114028.8,104526.4,9049.9,60.1,0.328
