mes,grupo,empleados,pct_temporales,pct_rotacion,accidentes_con_baja,horas_formacion,pct_mujeres_direccion,brecha_salarial
2024-01-01,A,2070,0.2216,0.0193,4,2245.1,0.3456,0.1244
2024-01-01,B,1349,0.2079,0.0161,4,1711.3,0.3618,0.1102
2024-01-01,C,907,0.28,0.0179,4,870.7,0.274,0.1208
2024-01-01,D,690,0.2168,0.0173,3,575.8,0.2643,0.1505
2024-01-01,E,558,0.1744,0.01,1,899.9,0.436,0.0521
2024-02-01,A,2093,0.228,0.0216,7,2111.5,0.3469,0.1136
2024-02-01,B,1335,0.1993,0.0134,5,1365.6,0.3802,0.0998
2024-02-01,C,894,0.2751,0.0227,2,826.5,0.3017,0.1243
2024-02-01,D,680,0.2464,0.0118,2,508.1,0.2522,0.1558
2024-02-01,E,532,0.1588,0.0086,1,916.8,0.4497,0.063
2024-03-01,A,2062,0.2337,0.0213,5,2392.4,0.3308,0.1199
2024-03-01,B,1277,0.2072,0.015,2,1639.9,0.3638,0.1035
2024-03-01,C,903,0.2536,0.0181,3,829.8,0.2569,0.12
2024-03-01,D,696,0.231,0.0086,4,538.6,0.2574,0.1421
2024-03-01,E,565,0.1573,0.0082,1,967.2,0.4446,0.0689
2024-04-01,A,2022,0.2367,0.0207,10,2527.2,0.3693,0.1191
2024-04-01,B,1353,0.1942,0.0135,5,1568.1,0.351,0.0964
2024-04-01,C,919,0.2802,0.0156,3,708.0,0.2601,0.1312
2024-04-01,D,686,0.2321,0.0211,1,461.2,0.2077,0.1491
2024-04-01,E,547,0.1417,0.0172,1,867.3,0.4483,0.0618
2024-05-01,A,2063,0.2687,0.0236,5,2674.0,0.3615,0.108
2024-05-01,B,1348,0.2048,0.0102,5,1824.8,0.369,0.1033
2024-05-01,C,881,0.2627,0.0236,2,815.2,0.3188,0.1315
2024-05-01,D,685,0.2417,0.0171,3,576.4,0.2706,0.1412
2024-05-01,E,552,0.1237,0.0059,1,932.4,0.4633,0.056
2024-06-01,A,2060,0.2587,0.0193,6,1949.0,0.3536,0.1028
2024-06-01,B,1358,0.2182,0.0096,4,1640.2,0.3768,0.0994
2024-06-01,C,900,0.2857,0.0178,6,978.6,0.2749,0.1259
2024-06-01,D,686,0.2482,0.0158,2,491.7,0.2645,0.1439
2024-06-01,E,559,0.1072,0.011,1,988.6,0.4362,0.0615
2024-07-01,A,2088,0.2482,0.0065,4,2764.8,0.3502,0.106
2024-07-01,B,1354,0.2091,0.0163,3,2078.7,0.3946,0.0958
2024-07-01,C,902,0.2846,0.0182,4,883.3,0.3004,0.131
2024-07-01,D,699,0.2497,0.0181,2,547.1,0.2603,0.1333
2024-07-01,E,565,0.134,0.0099,2,932.1,0.4262,0.0607
2024-08-01,A,2032,0.2498,0.0107,3,2473.0,0.3335,0.1078
2024-08-01,B,1323,0.2234,0.0186,3,1578.5,0.3855,0.1079
2024-08-01,C,898,0.2605,0.0138,4,746.0,0.2829,0.1309
2024-08-01,D,702,0.2372,0.0177,2,501.5,0.2839,0.1407
2024-08-01,E,553,0.1459,0.0074,1,1097.6,0.4495,0.0749
2024-09-01,A,2053,0.2417,0.0205,9,1885.2,0.3121,0.1237
2024-09-01,B,1322,0.201,0.0158,4,1504.4,0.3717,0.0992
2024-09-01,C,886,0.2416,0.0167,2,896.4,0.2823,0.1284
2024-09-01,D,698,0.2065,0.0137,6,586.5,0.2619,0.1334
2024-09-01,E,576,0.1541,0.0016,1,1079.6,0.4349,0.0502
2024-10-01,A,2045,0.242,0.0198,7,2324.2,0.3368,0.1276
2024-10-01,B,1309,0.2222,0.0204,3,1404.1,0.3651,0.0913
2024-10-01,C,928,0.2627,0.0189,3,786.0,0.3194,0.1234
2024-10-01,D,712,0.2263,0.0174,5,623.8,0.2851,0.1391
2024-10-01,E,558,0.1292,0.0112,1,1089.0,0.444,0.0624
