anio,codigo_tienda,grupo,formato,gas,carga_kg,fuga_kg,tasa_fuga,gwp,co2e_kg
2024,RN-MAD-GA01,A,gran_almacen,R-449A,850,76.9,0.09,1397.0,107426.8
2025,RN-MAD-GA01,A,gran_almacen,R-449A,850,120.3,0.142,1397.0,168061.3
2024,RN-MAD-GA02,A,gran_almacen,R-449A,850,98.31,0.116,1397.0,137341.2
2025,RN-MAD-GA02,A,gran_almacen,R-449A,850,112.1,0.132,1397.0,156607.5
2024,RN-MAD-GA03,A,gran_almacen,R-449A,850,121.15,0.143,1397.0,169249.5
2025,RN-MAD-GA03,A,gran_almacen,R-449A,850,76.82,0.09,1397.0,107322.6
2024,RN-MAD-HI01,A,hipermercado,R-449A,420,40.98,0.098,1397.0,57253.8
2025,RN-MAD-HI01,A,hipermercado,R-449A,420,52.37,0.125,1397.0,73158.2
2024,RN-MAD-HI02,A,hipermercado,R-449A,420,47.63,0.113,1397.0,66540.7
2025,RN-MAD-HI02,A,hipermercado,R-449A,420,51.26,0.122,1397.0,71607.2
2024,RN-MAD-HI03,A,hipermercado,R-449A,420,51.44,0.122,1397.0,71865.8
2025,RN-MAD-HI03,A,hipermercado,R-449A,420,53.94,0.128,1397.0,75348.9
2024,RN-MAD-HI04,A,hipermercado,R-449A,420,51.64,0.123,1397.0,72135.6
2025,RN-MAD-HI04,A,hipermercado,R-449A,420,49.54,0.118,1397.0,69211.4
2024,RN-MAD-HI05,A,hipermercado,R-449A,420,46.23,0.11,1397.0,64582.6
2025,RN-MAD-HI05,A,hipermercado,R-449A,420,45.31,0.108,1397.0,63293.6
2024,RN-MAD-ES01,A,especializada,R-449A,45,5.13,0.114,1397.0,7165.9
2025,RN-MAD-ES01,A,especializada,R-449A,45,4.49,0.1,1397.0,6267.8
2024,RN-MAD-ES02,A,especializada,R-449A,45,6.78,0.151,1397.0,9466.6
2025,RN-MAD-ES02,A,especializada,R-449A,45,4.57,0.102,1397.0,6381.7
2024,RN-MAD-ES03,A,especializada,R-449A,45,6.03,0.134,1397.0,8417.4
