mes,codigo_instalacion,grupo,tipo_instalacion,carton_kg,plastico_kg,organico_kg,raee_kg,textil_kg,resto_kg,total_kg,pct_reciclado
2024-01-01,CL-BCN-01,B,centro_logistico,3441.7,1527.9,60.8,180.1,109.0,470.6,5790.1,0.815
2024-01-01,CL-BCN-02,B,centro_logistico,3781.4,1546.1,52.6,188.8,121.4,534.1,6224.4,0.884
2024-01-01,CL-BIO-01,E,centro_logistico,2013.9,822.1,37.1,107.4,75.1,321.1,3376.7,0.86
2024-01-01,CL-MAD-01,A,centro_logistico,2977.8,1498.9,47.7,157.5,106.4,502.7,5291.0,0.771
2024-01-01,CL-MAD-02,A,centro_logistico,3016.1,1278.1,45.8,146.0,101.7,495.7,5083.4,0.758
2024-01-01,CL-MAD-03,A,centro_logistico,3313.3,1318.3,54.4,153.9,101.5,412.2,5353.6,0.79
2024-01-01,CL-SEV-01,D,centro_logistico,2783.8,1251.4,42.4,117.8,71.8,358.6,4625.8,0.651
2024-01-01,CL-VLC-01,C,centro_logistico,2506.4,1422.2,45.9,132.8,87.0,379.6,4573.9,0.721
2024-01-01,CL-VLC-02,C,centro_logistico,2812.2,1043.1,42.2,128.8,91.6,406.7,4524.6,0.654
2024-01-01,RN-BCN-CV01,B,tienda,969.1,624.3,1557.3,146.9,39.0,415.4,3752.0,0.691
2024-01-01,RN-BCN-CV02,B,tienda,1064.7,600.4,1631.6,140.3,37.8,366.3,3841.1,0.747
2024-01-01,RN-BCN-CV03,B,tienda,1020.9,698.7,1623.6,158.2,42.0,424.4,3967.8,0.736
2024-01-01,RN-BCN-CV04,B,tienda,780.5,535.6,1389.7,110.1,30.8,306.7,3153.4,0.752
2024-01-01,RN-BCN-CV05,B,tienda,878.1,515.9,1460.8,132.8,29.7,337.0,3354.3,0.809
2024-01-01,RN-BCN-CV06,B,tienda,953.0,589.6,1481.9,142.7,38.9,325.4,3531.5,0.69
2024-01-01,RN-BCN-CV07,B,tienda,828.8,580.3,1460.9,123.3,33.8,355.4,3382.5,0.687
2024-01-01,RN-BCN-CV08,B,tienda,884.3,594.5,1347.9,135.0,37.1,334.4,3333.2,0.721
2024-01-01,RN-BCN-ES01,B,tienda,1044.6,647.0,71.1,149.1,640.3,304.4,2856.5,0.722
2024-01-01,RN-BCN-ES02,B,tienda,1197.2,758.3,76.5,193.0,783.8,355.7,3364.5,0.769
2024-01-01,RN-BCN-ES03,B,tienda,1176.2,813.8,74.2,177.0,773.2,334.2,3348.6,0.723
2024-01-01,RN-BCN-ES04,B,tienda,1196.4,743.9,76.8,190.7,768.0,329.7,3305.5,0.761
2024-01-01,RN-BCN-ES05,B,tienda,1189.3,834.3,82.7,190.1,850.6,388.2,3535.2,0.728
2024-01-01,RN-BCN-ES06,B,tienda,1151.9,830.3,72.1,177.4,811.9,327.0,3370.6,0.7
2024-01-01,RN-BCN-ES07,B,tienda,1157.6,702.2,73.2,184.4,711.6,318.5,3147.5,0.692
2024-01-01,RN-BCN-ES08,B,tienda,917.7,617.6,56.5,136.8,641.1,300.0,2669.7,0.772
2024-01-01,RN-BCN-ES09,B,tienda,1306.3,756.9,79.8,199.7,759.7,345.2,3447.6,0.778
2024-01-01,RN-BCN-ES10,B,tienda,1158.9,655.0,76.1,174.7,724.6,368.4,3157.7,0.699
2024-01-01,RN-BCN-ES11,B,tienda,1139.6,778.6,70.3,206.8,803.8,363.6,3362.7,0.775
2024-01-01,RN-BCN-ES12,B,tienda,959.1,580.7,70.2,176.9,636.0,331.7,2754.6,0.73
2024-01-01,RN-BCN-ES13,B,tienda,1122.2,726.5,78.8,199.9,762.7,399.6,3289.7,0.721
2024-01-01,RN-BCN-ES14,B,tienda,1330.4,901.3,77.2,191.9,848.6,446.9,3796.3,0.747
2024-01-01,RN-BCN-GA01,B,tienda,21003.6,12091.1,5603.7,9188.3,4898.1,6424.3,59209.1,0.725
2024-01-01,RN-BCN-GA02,B,tienda,25495.7,13638.6,5982.5,10529.7,5400.6,6905.4,67952.5,0.674
2024-01-01,RN-BCN-HI01,B,tienda,3975.1,2330.2,5459.1,784.5,175.1,1450.8,14174.8,0.729
2024-01-01,RN-BCN-HI02,B,tienda,6038.8,3434.2,8453.9,1154.2,281.9,2049.4,21412.4,0.704
2024-01-01,RN-BCN-HI03,B,tienda,3709.2,2598.5,5776.0,877.8,202.1,1426.5,14590.1,0.725
2024-01-01,RN-BCN-HI04,B,tienda,4616.9,2939.5,7111.9,945.4,237.1,1857.5,17708.3,0.621
