fecha,codigo_centro,grupo,num_rutas,km_totales,km_en_vacio,paradas,ocupacion_media,pct_km_en_vacio,entregas_fallidas
2024-01-01,CL-BCN-01,B,9,4411.2,877.5,122,0.746,0.199,6
2024-01-01,CL-BCN-02,B,10,4882.0,1018.4,119,0.789,0.209,2
2024-01-01,CL-BIO-01,E,9,4821.9,622.6,107,0.766,0.129,1
2024-01-01,CL-MAD-01,A,8,3731.8,431.2,122,0.646,0.116,4
2024-01-01,CL-MAD-02,A,9,4248.4,708.9,130,0.799,0.167,2
2024-01-01,CL-MAD-03,A,8,3453.2,435.1,103,0.679,0.126,3
2024-01-01,CL-SEV-01,D,9,9202.4,2584.5,64,0.689,0.281,0
2024-01-01,CL-VLC-01,C,9,4313.9,1154.3,134,0.719,0.268,1
2024-01-01,CL-VLC-02,C,9,4606.5,1147.7,115,0.727,0.249,2
2024-01-02,CL-BCN-01,B,9,4545.4,1027.1,123,0.647,0.226,2
2024-01-02,CL-BCN-02,B,8,4200.8,1107.3,128,0.755,0.264,3
2024-01-02,CL-BIO-01,E,9,4440.8,422.0,120,0.852,0.095,3
2024-01-02,CL-MAD-01,A,8,3820.0,604.0,92,0.769,0.158,6
2024-01-02,CL-MAD-02,A,9,,,105,0.848,,2
2024-01-02,CL-MAD-03,A,9,4035.4,662.3,160,0.801,0.164,4
2024-01-02,CL-SEV-01,D,9,9259.2,2892.1,94,0.593,0.312,2
2024-01-02,CL-VLC-01,C,10,5089.4,1105.4,134,0.605,0.217,3
2024-01-02,CL-VLC-02,C,9,4193.3,834.0,111,0.759,0.199,0
2024-01-03,CL-BCN-01,B,9,4285.1,845.4,100,0.652,0.197,3
2024-01-03,CL-BCN-02,B,10,4760.2,1035.2,142,0.768,0.217,5
2024-01-03,CL-BIO-01,E,9,4439.6,614.6,107,0.895,0.138,1
2024-01-03,CL-MAD-01,A,9,3975.8,680.8,140,0.73,0.171,4
2024-01-03,CL-MAD-02,A,9,4053.5,732.6,125,0.837,0.181,2
2024-01-03,CL-MAD-03,A,9,4356.9,896.1,114,0.805,0.206,5
2024-01-03,CL-SEV-01,D,8,8089.6,2520.4,69,0.595,0.312,1
2024-01-03,CL-VLC-01,C,9,4434.5,1079.1,110,0.747,0.243,2
2024-01-03,CL-VLC-02,C,7,3555.5,925.6,76,0.71,0.26,1
2024-01-04,CL-BCN-01,B,8,4011.2,885.2,96,0.809,0.221,2
2024-01-04,CL-BCN-02,B,8,3891.3,745.5,119,0.767,0.192,6
2024-01-04,CL-BIO-01,E,8,4297.4,475.1,83,0.797,0.111,0
2024-01-04,CL-MAD-01,A,9,3969.2,672.0,116,0.839,0.169,2
2024-01-04,CL-MAD-02,A,9,4015.8,874.5,149,0.895,0.218,11
2024-01-04,CL-MAD-03,A,8,3768.8,821.9,115,0.711,0.218,3
2024-01-04,CL-SEV-01,D,10,10532.5,2886.9,69,0.491,0.274,3
2024-01-04,CL-VLC-01,C,9,4299.0,693.8,129,0.692,0.161,3
2024-01-04,CL-VLC-02,C,7,3490.3,851.1,88,0.598,0.244,1
2024-01-05,CL-BCN-01,B,9,4670.7,774.1,110,0.668,0.166,2
2024-01-05,CL-BCN-02,B,9,,,137,0.689,,3
2024-01-05,CL-BIO-01,E,9,4793.9,651.5,105,0.822,0.136,0
2024-01-05,CL-MAD-01,A,9,4136.6,630.0,135,0.901,0.152,4
2024-01-05,CL-MAD-02,A,9,3915.5,493.2,126,0.836,0.126,8
2024-01-05,CL-MAD-03,A,10,4383.3,680.6,131,0.751,0.155,3
2024-01-05,CL-SEV-01,D,11,11317.5,3892.3,102,0.608,0.344,0
2024-01-05,CL-VLC-01,C,9,4478.4,1200.1,114,0.715,0.268,4
2024-01-05,CL-VLC-02,C,9,4510.6,1072.0,101,0.817,0.238,1
2024-01-06,CL-BCN-01,B,5,2669.4,642.1,68,0.774,0.241,3
2024-01-06,CL-BCN-02,B,7,3446.5,662.5,85,0.825,0.192,4
2024-01-06,CL-BIO-01,E,6,3021.9,351.0,72,0.867,0.116,1
2024-01-06,CL-MAD-01,A,6,2763.6,422.7,83,0.8,0.153,5
2024-01-06,CL-MAD-02,A,7,3276.0,532.2,100,0.838,0.162,7
2024-01-06,CL-MAD-03,A,6,2672.1,567.7,95,0.813,0.212,6
2024-01-06,CL-SEV-01,D,6,6091.8,2146.3,46,0.62,0.352,0
2024-01-06,CL-VLC-01,C,5,2540.0,509.6,66,0.665,0.201,2
2024-01-06,CL-VLC-02,C,7,3411.7,727.1,85,0.8,0.213,1
2024-01-07,CL-BCN-01,B,3,1433.7,318.8,50,0.74,0.222,0
2024-01-07,CL-BCN-02,B,2,1231.8,271.2,25,0.761,0.22,0
2024-01-07,CL-BIO-01,E,3,1331.3,153.4,36,0.824,0.115,0
2024-01-07,CL-MAD-01,A,3,1171.0,173.9,38,0.747,0.149,0
2024-01-07,CL-MAD-02,A,3,1237.9,290.3,42,0.775,0.235,0
2024-01-07,CL-MAD-03,A,3,1352.7,232.6,38,0.823,0.172,1
2024-01-07,CL-SEV-01,D,3,3222.8,1032.2,25,0.557,0.32,0
2024-01-07,CL-VLC-01,C,3,1245.3,248.0,36,0.713,0.199,3
2024-01-07,CL-VLC-02,C,3,1255.3,291.6,34,0.732,0.232,1
2024-01-08,CL-BCN-01,B,10,5033.3,908.8,138,0.726,0.181,5
2024-01-08,CL-BCN-02,B,9,4306.4,1059.9,120,0.74,0.246,4
2024-01-08,CL-BIO-01,E,8,4266.9,391.8,87,0.794,0.092,0
