codigo_tienda,grupo,formato,nombre_formato,emplazamiento,superficie_m2,anio_apertura,ventas_por_m2_eur,ventas_anuales_eur
RN-MAD-GA01,A,gran_almacen,Gran almacén,Castellana,23133,2013,4131.7,95578597.64
RN-MAD-GA02,A,gran_almacen,Gran almacén,Preciados,15731,1998,4131.7,64995760.14
RN-MAD-GA03,A,gran_almacen,Gran almacén,Goya,18486,2015,4131.7,76378591.45
RN-MAD-HI01,A,hipermercado,Hipermercado / Gourmet,Nuevos Ministerios,2724,2012,5001.52,13624145.0
RN-MAD-HI02,A,hipermercado,Hipermercado / Gourmet,Princesa,2377,2015,5001.52,11888616.98
RN-MAD-HI03,A,hipermercado,Hipermercado / Gourmet,Arturo Soria,2710,1980,5001.52,13554123.7
RN-MAD-HI04,A,hipermercado,Hipermercado / Gourmet,Méndez Álvaro,2906,1985,5001.52,14534421.94
RN-MAD-HI05,A,hipermercado,Hipermercado / Gourmet,Las Rozas,2862,1996,5001.52,14314354.99
RN-MAD-ES01,A,especializada,Tienda especializada,Pozuelo,1025,2012,5871.35,6018137.98
RN-MAD-ES02,A,especializada,Tienda especializada,Alcobendas,710,2004,5871.35,4168661.43
RN-MAD-ES03,A,especializada,Tienda especializada,Getafe,877,1988,5871.35,5149177.57
RN-MAD-ES04,A,especializada,Tienda especializada,Móstoles,870,1997,5871.35,5108078.09
RN-MAD-ES05,A,especializada,Tienda especializada,Alcalá,766,1991,5871.35,4497457.26
RN-MAD-ES06,A,especializada,Tienda especializada,Leganés,885,2014,5871.35,5196148.4
RN-MAD-ES07,A,especializada,Tienda especializada,Fuenlabrada,924,2019,5871.35,5425131.21
RN-MAD-ES08,A,especializada,Tienda especializada,Vallecas,922,2002,5871.35,5413388.5
RN-MAD-ES09,A,especializada,Tienda especializada,Tetuán,852,1998,5871.35,5002393.71
RN-MAD-ES10,A,especializada,Tienda especializada,Chamberí,891,1990,5871.35,5231376.52
RN-MAD-ES11,A,especializada,Tienda especializada,Carabanchel,740,1980,5871.35,4344802.05
RN-MAD-ES12,A,especializada,Tienda especializada,Barajas,918,1992,5871.35,5389903.08
RN-MAD-ES13,A,especializada,Tienda especializada,Castellana 2,881,2015,5871.35,5172662.98
RN-MAD-ES14,A,especializada,Tienda especializada,Preciados 2,709,2009,5871.35,4162790.07
RN-MAD-ES15,A,especializada,Tienda especializada,Goya 2,798,1983,5871.35,4685340.59
RN-MAD-ES16,A,especializada,Tienda especializada,Nuevos Ministerios 2,823,1993,5871.35,4832124.44
RN-MAD-ES17,A,especializada,Tienda especializada,Princesa 2,875,2000,5871.35,5137434.86
RN-MAD-ES18,A,especializada,Tienda especializada,Arturo Soria 2,955,1993,5871.35,5607143.19
RN-MAD-ES19,A,especializada,Tienda especializada,Méndez Álvaro 2,891,1996,5871.35,5231376.52
RN-MAD-ES20,A,especializada,Tienda especializada,Las Rozas 2,853,2022,5871.35,5008265.07
RN-MAD-CV01,A,conveniencia,Conveniencia,Pozuelo 2,355,2021,6958.64,2470317.09
RN-MAD-CV02,A,conveniencia,Conveniencia,Alcobendas 2,374,2013,6958.64,2602531.25
