mes,codigo_tienda,grupo,categoria,nombre_categoria,ventas_eur
2024-01-01,RN-BCN-CV01,B,moda_belleza,Moda y Belleza,9852.8
2024-01-01,RN-BCN-CV01,B,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",21773.52
2024-01-01,RN-BCN-CV01,B,alimentacion_hosteleria,Alimentación y Hostelería,122440.2
2024-01-01,RN-BCN-CV02,B,moda_belleza,Moda y Belleza,10403.57
2024-01-01,RN-BCN-CV02,B,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",22990.65
2024-01-01,RN-BCN-CV02,B,alimentacion_hosteleria,Alimentación y Hostelería,129284.54
2024-01-01,RN-BCN-CV03,B,moda_belleza,Moda y Belleza,10926.52
2024-01-01,RN-BCN-CV03,B,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",24146.31
2024-01-01,RN-BCN-CV03,B,alimentacion_hosteleria,Alimentación y Hostelería,135783.27
2024-01-01,RN-BCN-CV04,B,moda_belleza,Moda y Belleza,8456.66
2024-01-01,RN-BCN-CV04,B,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",18688.22
2024-01-01,RN-BCN-CV04,B,alimentacion_hosteleria,Alimentación y Hostelería,105090.47
2024-01-01,RN-BCN-CV05,B,moda_belleza,Moda y Belleza,8936.38
2024-01-01,RN-BCN-CV05,B,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",19748.33
2024-01-01,RN-BCN-CV05,B,alimentacion_hosteleria,Alimentación y Hostelería,111051.84
2024-01-01,RN-BCN-CV06,B,moda_belleza,Moda y Belleza,9410.21
2024-01-01,RN-BCN-CV06,B,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",20795.45
2024-01-01,RN-BCN-CV06,B,alimentacion_hosteleria,Alimentación y Hostelería,116940.16
2024-01-01,RN-BCN-CV07,B,moda_belleza,Moda y Belleza,9411.9
2024-01-01,RN-BCN-CV07,B,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",20799.17
2024-01-01,RN-BCN-CV07,B,alimentacion_hosteleria,Alimentación y Hostelería,116961.11
2024-01-01,RN-BCN-CV08,B,moda_belleza,Moda y Belleza,9342.69
2024-01-01,RN-BCN-CV08,B,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",20646.23
2024-01-01,RN-BCN-CV08,B,alimentacion_hosteleria,Alimentación y Hostelería,116101.06
2024-01-01,RN-BCN-ES01,B,moda_belleza,Moda y Belleza,180176.26
2024-01-01,RN-BCN-ES01,B,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",30164.25
2024-01-01,RN-BCN-ES01,B,alimentacion_hosteleria,Alimentación y Hostelería,3592.04
2024-01-01,RN-BCN-ES02,B,moda_belleza,Moda y Belleza,211045.02
2024-01-01,RN-BCN-ES02,B,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",35332.15
2024-01-01,RN-BCN-ES02,B,alimentacion_hosteleria,Alimentación y Hostelería,4207.45
2024-01-01,RN-BCN-ES03,B,moda_belleza,Moda y Belleza,217296.18
2024-01-01,RN-BCN-ES03,B,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",36378.69
2024-01-01,RN-BCN-ES03,B,alimentacion_hosteleria,Alimentación y Hostelería,4332.08
2024-01-01,RN-BCN-ES04,B,moda_belleza,Moda y Belleza,204366.51
2024-01-01,RN-BCN-ES04,B,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",34214.06
2024-01-01,RN-BCN-ES04,B,alimentacion_hosteleria,Alimentación y Hostelería,4074.31
2024-01-01,RN-BCN-ES05,B,moda_belleza,Moda y Belleza,221712.41
2024-01-01,RN-BCN-ES05,B,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",37118.03
2024-01-01,RN-BCN-ES05,B,alimentacion_hosteleria,Alimentación y Hostelería,4420.12
2024-01-01,RN-BCN-ES06,B,moda_belleza,Moda y Belleza,212527.07
2024-01-01,RN-BCN-ES06,B,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",35580.27
2024-01-01,RN-BCN-ES06,B,alimentacion_hosteleria,Alimentación y Hostelería,4237.0
2024-01-01,RN-BCN-ES07,B,moda_belleza,Moda y Belleza,206701.66
2024-01-01,RN-BCN-ES07,B,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",34605.0
2024-01-01,RN-BCN-ES07,B,alimentacion_hosteleria,Alimentación y Hostelería,4120.86
2024-01-01,RN-BCN-ES08,B,moda_belleza,Moda y Belleza,165707.61
2024-01-01,RN-BCN-ES08,B,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",27741.98
2024-01-01,RN-BCN-ES08,B,alimentacion_hosteleria,Alimentación y Hostelería,3303.59
2024-01-01,RN-BCN-ES09,B,moda_belleza,Moda y Belleza,217144.54
2024-01-01,RN-BCN-ES09,B,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",36353.3
2024-01-01,RN-BCN-ES09,B,alimentacion_hosteleria,Alimentación y Hostelería,4329.05
2024-01-01,RN-BCN-ES10,B,moda_belleza,Moda y Belleza,200914.56
2024-01-01,RN-BCN-ES10,B,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",33636.16
2024-01-01,RN-BCN-ES10,B,alimentacion_hosteleria,Alimentación y Hostelería,4005.49
2024-01-01,RN-BCN-ES11,B,moda_belleza,Moda y Belleza,207818.19
2024-01-01,RN-BCN-ES11,B,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",34791.93
2024-01-01,RN-BCN-ES11,B,alimentacion_hosteleria,Alimentación y Hostelería,4143.12
2024-01-01,RN-BCN-ES12,B,moda_belleza,Moda y Belleza,186173.78
2024-01-01,RN-BCN-ES12,B,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",31168.33
2024-01-01,RN-BCN-ES12,B,alimentacion_hosteleria,Alimentación y Hostelería,3711.61
2024-01-01,RN-BCN-ES13,B,moda_belleza,Moda y Belleza,212636.01
2024-01-01,RN-BCN-ES13,B,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",35598.51
2024-01-01,RN-BCN-ES13,B,alimentacion_hosteleria,Alimentación y Hostelería,4239.17
2024-01-01,RN-BCN-ES14,B,moda_belleza,Moda y Belleza,234246.39
2024-01-01,RN-BCN-ES14,B,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",39216.41
2024-01-01,RN-BCN-ES14,B,alimentacion_hosteleria,Alimentación y Hostelería,4670.0
2024-01-01,RN-BCN-GA01,B,moda_belleza,Moda y Belleza,1390965.61
